発話文,応答文,xの場合x,(理由？なくても)
ホテルの朝食に郷土料理と塩辛あるの嬉しい,,,
新米食べてみてください,,,
豆のマリネも残っていたので撮り直してみた,x,x,
弁当に入れてきたニンジンサラダにドレッシングかけ忘れた,,,
紅茶さえくれたら許してあげる,,x,何を
スーパーに鶏肉降ろしてる業者が食べる,,x,何を
ハニーの香りの期間限定のハンドクリーム買ってしまった,x,x,食べ物じゃない
あのリンゴの簡単ケーキ作ってみたらこうなった,x,x,
ボジョレーは赤ワインな割にはクセがなくて飲みやすかった,,,
我慢できずにエクレア食べてしまった,,,
マヨネーズを破裂させてしまったがそのまま客に渡した,,,
イチゴの果実は赤い部分じゃない,,,
美味しくごはんを食べられるのはいいことだ,,,
焼き芋の歌が聞こえてくる,,,
キャベツもっと欲しかった,,,
これからパプリカとスターウォーズ観てこます,x,x,食べ物じゃない
揚げ物を食べてしまった,,,
カフェラテ飲んだら気持ち悪くなってきた,,,
このホイップクリームになんか既視感あると思ったら,x,x,文が完結していない
今日はいつもと違うスパイスを使ってみたんだ,,,
さいきん鮭の切り身はたべれるようになったんです,,,
明日の昼ご飯にはポタージュを作ろう,,,
ハイになってウォッカあおってたから回って来た,,,
今夜は栗ごはんと里芋煮とほうれん草のおひたしと秋刀魚です,,,
とりあえず野菜食べてたら健康な気がする,,,
桃のタオル希望です,x,x,食べ物じゃない
ピーナッツどか食いで出ます,x,x,非文・誤字
あさりの出汁で炊いた,,,
梨の果汁が溢れ出る,,,
お鍋美味しかったあ〜,,,
イカ楽しすぎて寝れない,x,x,食べ物じゃない
現実逃避のために甘納豆食べてる,,,
昨日のリンゴのタルトぽいの作ってみた,,,
麺類のすすり方忘れた,,,
少しだけ細かい柚子入って今まで食べたことない味だった,△,,
寝ないとやばいけどナポリ面白い,x,x,食べ物じゃない
あの死んでたサザエの匂いは忘れられんクサすぎた,x,x,食べ物のコンテクスト
気持ち悪くて死んでるから石油王にゼリー食べさせて欲しい,x,x,人名に関する曖昧性
ご飯前だけど安定のリゾット作って食べよ,,,
ホットケーキと聞いてやって来ました,,,
ワインに合うラスクだと知らずに開けてしまった,,,
家族の顔のクッキー作った,,,
ありがたいことにフルーツケーキとショートケーキの鯖がいらっしゃる,x,x,鯖の曖昧性
スーパーで買った揚げ物がサックサクだ,,,
とろろのせいでめちゃくちゃ腕が痒い辛いいい,,,
餃子よりクロワッサンとハーゲンダッツが食べたい,,,
焼き魚が食べたくなるだけだった,,,
半生ぐらい一緒にいる気がする,x,x,食べ物じゃない
